HouseholdID,Timestamp,Volume_m3,AmbientCO_ppm_Est,HourOfDay,MinuteOfHour,IsCooking,TimeSinceCookStart_min,StoveType_ICS,StoveType_TCS,CO_ppm_Lag1,CO_ppm_Lag2,CO_ppm_Lag5,CO_ppm_Lag10,CO_ppm
5,2018-12-15 18:17:00,8.0,1.0,18,17,1,41.0,0,1,6.2,6.4,8.0,19.1,6.2
5,2018-12-15 18:18:00,8.0,1.0,18,18,1,42.0,0,1,6.2,6.2,7.2,13.9,6.0
5,2018-12-15 18:19:00,8.0,1.0,18,19,1,43.0,0,1,6.0,6.2,6.9,10.4,5.9
5,2018-12-15 18:20:00,8.0,1.0,18,20,1,44.0,0,1,5.9,6.0,6.4,9.3,6.0
5,2018-12-15 18:21:00,8.0,1.0,18,21,1,45.0,0,1,6.0,5.9,6.2,8.7,7.2
5,2018-12-15 18:22:00,8.0,1.0,18,22,1,46.0,0,1,7.2,6.0,6.2,8.0,8.2
5,2018-12-15 18:23:00,8.0,1.0,18,23,1,47.0,0,1,8.2,7.2,6.0,7.2,7.6
5,2018-12-15 18:24:00,8.0,1.0,18,24,1,48.0,0,1,7.6,8.2,5.9,6.9,7.0
5,2018-12-15 18:25:00,8.0,1.0,18,25,1,49.0,0,1,7.0,7.6,6.0,6.4,6.7
5,2018-12-15 18:26:00,8.0,1.0,18,26,1,50.0,0,1,6.7,7.0,7.2,6.2,6.9
5,2018-12-15 18:27:00,8.0,1.0,18,27,1,51.0,0,1,6.9,6.7,8.2,6.2,6.7
5,2018-12-15 18:28:00,8.0,1.0,18,28,1,52.0,0,1,6.7,6.9,7.6,6.0,6.6
5,2018-12-15 18:29:00,8.0,1.0,18,29,1,53.0,0,1,6.6,6.7,7.0,5.9,7.2
5,2018-12-15 18:30:00,8.0,1.0,18,30,1,54.0,0,1,7.2,6.6,6.7,6.0,8.6
5,2018-12-15 18:31:00,8.0,1.0,18,31,1,55.0,0,1,8.6,7.2,6.9,7.2,11.3
5,2018-12-15 18:32:00,8.0,1.0,18,32,1,56.0,0,1,11.3,8.6,6.7,8.2,11.8
5,2018-12-15 18:33:00,8.0,1.0,18,33,1,57.0,0,1,11.8,11.3,6.6,7.6,11.1
5,2018-12-15 18:34:00,8.0,1.0,18,34,1,58.0,0,1,11.1,11.8,7.2,7.0,9.8
5,2018-12-15 18:35:00,8.0,1.0,18,35,1,59.0,0,1,9.8,11.1,8.6,6.7,10.8
5,2018-12-15 18:36:00,8.0,1.0,18,36,1,60.0,0,1,10.8,9.8,11.3,6.9,12.4
5,2018-12-15 18:37:00,8.0,1.0,18,37,1,61.0,0,1,12.4,10.8,11.8,6.7,13.6
5,2018-12-15 18:38:00,8.0,1.0,18,38,1,62.0,0,1,13.6,12.4,11.1,6.6,13.3
5,2018-12-15 18:39:00,8.0,1.0,18,39,1,63.0,0,1,13.3,13.6,9.8,7.2,10.6
5,2018-12-15 18:40:00,8.0,1.0,18,40,1,64.0,0,1,10.6,13.3,10.8,8.6,9.1
5,2018-12-15 18:41:00,8.0,1.0,18,41,1,65.0,0,1,9.1,10.6,12.4,11.3,7.7
5,2018-12-15 18:42:00,8.0,1.0,18,42,1,66.0,0,1,7.7,9.1,13.6,11.8,6.7
5,2018-12-15 18:43:00,8.0,1.0,18,43,1,67.0,0,1,6.7,7.7,13.3,11.1,6.6
5,2018-12-15 18:44:00,8.0,1.0,18,44,1,68.0,0,1,6.6,6.7,10.6,9.8,7.0
5,2018-12-15 18:45:00,8.0,1.0,18,45,1,69.0,0,1,7.0,6.6,9.1,10.8,7.4
5,2018-12-15 18:46:00,8.0,1.0,18,46,0,70.0,0,1,7.4,7.0,7.7,12.4,7.8
5,2018-12-15 18:47:00,8.0,1.0,18,47,0,71.0,0,1,7.8,7.4,6.7,13.6,8.3
5,2018-12-15 18:48:00,8.0,1.0,18,48,0,72.0,0,1,8.3,7.8,6.6,13.3,9.0
5,2018-12-15 18:49:00,8.0,1.0,18,49,0,73.0,0,1,9.0,8.3,7.0,10.6,7.7
5,2018-12-15 18:50:00,8.0,1.0,18,50,0,74.0,0,1,7.7,9.0,7.4,9.1,4.5
5,2018-12-15 18:51:00,8.0,1.0,18,51,0,75.0,0,1,4.5,7.7,7.8,7.7,3.0
5,2018-12-15 18:52:00,8.0,1.0,18,52,0,76.0,0,1,3.0,4.5,8.3,6.7,2.0
5,2018-12-15 18:53:00,8.0,1.0,18,53,0,77.0,0,1,2.0,3.0,9.0,6.6,1.5
